item_id,item_name,category,department,shelf_life_days,days_remaining,initial_stock,current_stock,base_price,dynamic_price,daily_sales,elasticity,restock_frequency_days,last_restock_date,next_restock_date,carbon_score,predicted_monthly_sales,predicted_daily_sales,days_until_restock,days_stock_lasts
WMCC4E19,Sara Lee Rolls 12oz,Perishable,Bakery,11,0,439,227,7.23,6.44,24,0.79,1,2025-06-27,2025-06-28,6.09,737.71,24.59,0,9.23139481868243
WM800E59,Organic Milk,Perishable,Dairy,32,13,70,15,2.71,2.71,46,0.0,1,2025-06-27,2025-06-28,4.93,1376.58,45.89,0,0.3268686031707292
WM79D312,Barilla Butter,Perishable,Dairy,56,32,223,220,2.69,2.69,35,0.26,2,2025-06-29,2025-07-01,8.16,1061.46,35.38,0,6.218202186496425
WM89D9A6,Sara Lee Detergent,Perishable,Household,387,220,64,20,10.1,10.1,5,0.0,9,2025-06-18,2025-06-27,5.65,151.87,5.06,0,3.952569214657673
WMCE2101,Sara Lee Cereal,Perishable,Grocery,526,309,484,248,3.12,3.12,14,0.61,9,2025-06-17,2025-06-26,2.27,455.02,15.17,0,16.34805529022692
WM2075F6,Great Value Chicken 16oz,Perishable,Meat,10,10,342,91,8.58,8.58,70,0.47,2,2025-06-27,2025-06-29,3.46,2074.18,69.14,0,1.3161701012919653
WM7A7EB6,Fresh Potatoes 16oz,Perishable,Produce,7,7,432,182,2.74,2.74,64,0.3,1,2025-06-25,2025-06-26,3.07,1932.81,64.43,0,2.8247710559979557
WM51872E,Campbell's Croissants,Perishable,Bakery,33,6,474,246,7.1,6.99,25,1.25,1,2025-06-20,2025-06-21,6.79,759.73,25.32,0,9.715639927526777
WMC6468C,Campbell's Chicken 16oz,Perishable,Meat,6,4,50,35,3.4,3.4,34,0.4,1,2025-06-24,2025-06-25,4.69,1036.43,34.55,0,1.0130246243958452
WM75CEA9,Sara Lee Detergent,Perishable,Household,708,682,163,98,7.42,7.42,52,0.0,10,2025-06-26,2025-07-06,4.13,1581.62,52.72,5,1.858877043453395
WMCC153D,Great Value Rice 12oz,Perishable,Grocery,505,498,158,73,7.74,7.74,40,0.0,11,2025-06-26,2025-07-07,7.77,1173.71,39.12,6,1.8660532206840459
