item_id,item_name,category,department,shelf_life_days,days_remaining,initial_stock,current_stock,base_price,dynamic_price,daily_sales,elasticity,restock_frequency_days,last_restock_date,next_restock_date,carbon_score,predicted_monthly_sales,predicted_daily_sales,days_until_restock,days_stock_lasts
WMCC4E19,Sara Lee Rolls 12oz,Perishable,Bakery,11,0,439,227,7.23,6.44,24,0.79,1,2025-06-27,2025-06-28,6.09,737.71,24.59,0,9.23139481868243
WM800E59,Organic Milk,Perishable,Dairy,32,12,70,70,2.71,2.71,15,0.0,1,2025-07-07,2025-07-10,4.93,1376.58,45.89,3,0.3268686031707292
WM79D312,Barilla Butter,Perishable,Dairy,56,31,223,394,2.69,2.69,49,0.26,2,2025-07-07,2025-07-09,8.16,1061.46,35.38,2,6.218202186496425
WM89D9A6,Sara Lee Detergent,Perishable,Household,387,219,64,83,10.1,10.1,1,0.0,9,2025-07-07,2025-07-17,5.65,151.87,5.06,10,3.952569214657673
WMCE2101,Sara Lee Cereal,Perishable,Grocery,526,308,484,704,3.12,3.12,28,0.61,9,2025-07-07,2025-07-16,2.27,455.02,15.17,9,16.34805529022692
WM2075F6,Great Value Chicken 16oz,Perishable,Meat,10,9,342,342,8.58,8.58,91,0.47,2,2025-07-07,2025-07-11,3.46,2074.18,69.14,4,1.316170101291965
WM7A7EB6,Fresh Potatoes 16oz,Perishable,Produce,7,6,432,532,2.74,2.74,82,0.3,1,2025-07-07,2025-07-08,3.07,1932.81,64.43,1,2.824771055997956
WM51872E,Campbell's Croissants,Perishable,Bakery,33,5,474,668,7.1,6.99,52,1.25,1,2025-07-07,2025-07-10,6.79,759.73,25.32,3,9.715639927526777
WMC6468C,Campbell's Chicken 16oz,Perishable,Meat,6,3,50,50,3.4,3.4,35,0.4,1,2025-07-07,2025-07-09,4.69,1036.43,34.55,2,1.0130246243958452
WM75CEA9,Sara Lee Detergent,Perishable,Household,708,681,163,49,7.42,7.42,49,0.0,10,2025-06-26,2025-07-06,4.13,1581.62,52.72,4,1.858877043453395
